"GENE.NAME","Ischemic","Ischemic_logFC","Idiopathic","Idiopathic_logFC"
"22846",1,0.196458971819452,0,0
"22847",0,0,0,0
"22848",0,0,0,0
"22849",1,0.260109003696765,1,0.250697512710757
"22850",-1,-0.150508393386568,1,0.143087621709301
"22854",0,0,0,0
"22856",0,0,0,0
"22859",0,0,0,0
"2286",0,0,0,0
"22861",1,0.205992349069448,1,0.199824355305232
"22862",-1,-0.247366331319436,-1,-0.20053173320058
"22863",1,0.240303567787043,1,0.228189170337208
"22864",1,0.319942034312511,1,0.341225925370637
"22868",0,0,0,0
"2287",0,0,0,0
"22870",0,0,0,0
"22872",1,0.310031264974553,1,0.332515629047965
"22875",-1,-0.322077274601847,-1,-0.38466313872093
"22876",0,0,0,0
"22877",0,0,0,0
"22878",0,0,0,0
"2288",-1,-0.520455132131942,-1,-0.516391619809593
"22880",0,0,0,0
"22881",1,0.131606391087971,0,0
"22882",0,0,1,0.222267653600297
"22883",1,0.239312452280104,1,0.28028106927471
"22884",0,0,1,0.199497870010175
"22885",0,0,0,0
"22887",0,0,0,0
"22888",0,0,0,0
"22889",0,0,0,0
"2289",-1,-1.49341607162267,-1,-1.60500664124564
"22890",0,0,0,0
"22891",0,0,1,0.135101837896801
"22894",0,0,0,0
"22898",0,0,0,0
"22899",1,0.174044756574087,1,0.242131577081396
"229",0,0,0,0
"22900",0,0,0,0
"22902",0,0,0,0
"22903",0,0,0,0
"22904",-1,-0.301709868351846,-1,-0.289114754831395
"22905",-1,-0.238429832733787,-1,-0.191128863664248
"22906",1,0.189258706837967,1,0.228102608095927
"22907",0,0,0,0
"22908",0,0,0,0
"22909",0,0,0,0
"22911",0,0,0,0
"22913",-1,-0.258887621407391,-1,-0.219678056732556
"22914",1,0.185935579752325,1,0.186501966780524
"22916",-1,-0.178316040953697,-1,-0.232456757581396
"22918",0,0,0,0
"22919",-1,-0.312302058979155,-1,-0.313636111562499
"22920",0,0,0,0
"22921",1,0.317312472453715,1,0.40680053547093
"22924",0,0,0,0
"22926",0,0,0,0
"22928",0,0,-1,-0.196400608142444
"22929",0,0,0,0
"22930",-1,-0.449415352650458,-1,-0.399977432925869
"22932",0,0,0,0
"22933",0,0,0,0
"22934",0,0,0,0
"22936",-1,-0.637693958196754,-1,-0.718236993408432
"22938",-1,-0.257765768331013,-1,-0.213455390242733
"22947",0,0,0,0
"22950",0,0,0,0
"2296",0,0,0,0
"22974",0,0,0,0
"22978",0,0,0,0
"2298",0,0,0,0
"22980",0,0,0,0
"22981",1,0.201907868965284,1,0.191293611699125
"22982",0,0,0,0
"22992",0,0,0,0
"22993",0,0,0,0
"22996",0,0,0,0
"22997",0,0,0,0
"22998",1,0.391332486483808,1,0.538308714623545
"230",1,0.281053375164365,1,0.339052494556686
"23001",0,0,0,0
"23002",1,0.279455319937511,1,0.29443844381541
"23008",0,0,0,0
"23011",-1,-0.256827011428227,0,0
"23012",1,0.44863258399075,1,0.479880322848838
"23013",-1,-0.16482956810415,-1,-0.182056123780523
"23014",0,0,0,0
"23015",0,0,0,0
"23016",0,0,1,0.670247957010179
"23017",-1,-0.153706149805553,0,0
"2302",0,0,0,0
"23020",0,0,0,0
"23022",-1,-1.1621315635486,-1,-1.19472693336191
"23023",1,0.140082107921303,1,0.175310762084303
"23024",0,0,1,0.490467907172961
"23026",-1,-0.413972512291656,-1,-0.413780444386625
"23029",0,0,0,0
"23030",0,0,0,0
"23032",0,0,0,0
"23033",1,0.277685513194456,1,0.307937311441859
"23034",0,0,0,0
"23035",0,0,0,0
"23036",0,0,0,0
"23037",0,0,0,0
"23038",0,0,0,0
"23039",0,0,0,0
"23041",0,0,0,0
"23043",0,0,1,0.226538129678778
"23046",0,0,0,0
"23047",0,0,0,0
"23048",0,0,0,0
"23052",0,0,0,0
"23053",0,0,0,0
"23060",0,0,0,0
"23062",0,0,0,0
"23063",-1,-0.27788453000694,-1,-0.26334422545785
"23064",0,0,0,0
