"GENE.NAME","Gene.name","Level","Reliability","conservative","liberal"
"79837","PIP4K2C","Medium","Approved",1,1
"79868","ALG13","Low","Approved",-1,0
"79888","LPCAT1","Medium","Enhanced",1,1
"79896","THNSL1",NA,NA,-1,-1
"79901","CYBRD1","Not detected","Approved",-1,-1
"79903","NAA60","Low","Approved",-1,0
"79944","L2HGDH","Medium","Approved",1,1
"79947","DHDDS","Low","Uncertain",-1,0
"79948","LPPR3",NA,NA,-1,-1
"79966","SCD5","Medium","Uncertain",1,1
"79993","ELOVL7","Low","Approved",-1,0
"80024","SLC8B1","Not detected","Approved",-1,-1
"80025","PANK2","Not detected","Approved",-1,-1
"80055","PGAP1",NA,NA,-1,-1
"801","CALM1","Not detected","Supported",-1,-1
"80142","PTGES2","High","Approved",2,2
"80146","UXS1","Low","Uncertain",-1,0
"80150","ASRGL1","Not detected","Enhanced",-1,-1
"80155","NAA15","Medium","Approved",1,1
"80162","ATHL1",NA,NA,-1,-1
"80168","MOGAT2","Medium","Uncertain",1,1
"80201","HKDC1","Not detected","Approved",-1,-1
"80222","TARS2","Medium","Approved",1,1
"80235","PIGZ","Low","Approved",-1,0
"80270","HSD3B7","Low","Uncertain",-1,0
"80271","ITPKC","Medium","Approved",1,1
"8029","CUBN","Not detected","Enhanced",-1,-1
"80308","FLAD1","Medium","Approved",1,1
"80324","PUS1","Medium","Approved",1,1
"80339","PNPLA3","Not detected","Approved",-1,-1
"8034","SLC25A16",NA,NA,-1,-1
"80347","COASY","Medium","Approved",1,1
"80351","TNKS2",NA,NA,-1,-1
"805","CALM2","Low","Approved",-1,0
"8061","FOSL1","Not detected","Uncertain",-1,-1
"80704","SLC19A3","Medium","Approved",1,1
"80724","ACAD10",NA,NA,-1,-1
"80736","SLC44A4","Not detected","Enhanced",-1,-1
"80765","STARD5","Medium","Approved",1,1
"808","CALM3","Not detected","Approved",-1,-1
"80864","EGFL8","High","Uncertain",2,2
"80896","NPL",NA,NA,-1,-1
"81031","SLC2A10","High","Approved",2,2
"8140","SLC7A5","High","Approved",2,2
"81490","PTDSS2","Low","Approved",-1,0
"81537","SGPP1","Medium","Approved",1,1
"81539","SLC38A1","Not detected","Uncertain",-1,-1
"81579","PLA2G12A","Not detected","Approved",-1,-1
"81616","ACSBG2","Not detected","Enhanced",-1,-1
"81627","TRMT1L","Not detected","Uncertain",-1,-1
"8170","SLC14A2",NA,NA,-1,-1
"81849","ST6GALNAC5",NA,NA,-1,-1
"81855","SFXN3","Medium","Approved",1,1
"81888","HYI","Medium","Uncertain",1,1
"81890","QTRT1","Low","Approved",-1,0
"81894","SLC25A28",NA,NA,-1,-1
"825","CAPN3","Low","Enhanced",-1,0
"8260","NAA10","Not detected","Supported",-1,-1
"8277","TKTL1","Not detected","Enhanced",-1,-1
"8288","EPX","Not detected","Approved",-1,-1
"8309","ACOX2","Medium","Enhanced",1,1
"8310","ACOX3","Not detected","Uncertain",-1,-1
"833","CARS","Not detected","Enhanced",-1,-1
"83401","ELOVL3","Not detected","Supported",-1,-1
"83440","ADPGK","Low","Approved",-1,0
"83549","UCK1","Low","Approved",-1,0
"83594","NUDT12","Medium","Supported",1,1
"83666","PARP9",NA,NA,-1,-1
"83697","SLC4A9",NA,NA,-1,-1
"8372","HYAL3",NA,NA,-1,-1
"83733","SLC25A18",NA,NA,-1,-1
"8382","NME5","Not detected","Approved",-1,-1
"83875","BCO2","Medium","Uncertain",1,1
"83884","SLC25A2",NA,NA,-1,-1
"8394","PIP5K1A","Not detected","Approved",-1,-1
"8395","PIP5K1B","Low","Uncertain",-1,0
"8396","PIP4K2B","Not detected","Approved",-1,-1
"8398","PLA2G6","Low","Approved",-1,0
"8399","PLA2G10",NA,NA,-1,-1
"84002","B3GNT5","Low","Uncertain",-1,0
"8402","SLC25A11","High","Approved",2,2
"84076","TKTL2",NA,NA,-1,-1
"84102","SLC41A2","Medium","Approved",1,1
"84105","PCBD2","Medium","Uncertain",1,1
"84126","ATRIP","High","Approved",2,2
"84129","ACAD11","Medium","Enhanced",1,1
"84172","POLR1B",NA,NA,-1,-1
"84188","FAR1","Medium","Approved",1,1
"8424","BBOX1","Not detected","Enhanced",-1,-1
"84245","MRI1","Not detected","Approved",-1,-1
"84264","HAGHL","Not detected","Approved",-1,-1
"84265","POLR3GL","Medium","Uncertain",1,1
"84274","COQ5","Medium","Approved",1,1
"84284","NTPCR","Medium","Uncertain",1,1
"84343","HPS3","Medium","Approved",1,1
"8435","SOAT2",NA,NA,-1,-1
"8443","GNPAT",NA,NA,-1,-1
"8446","DUSP11",NA,NA,-1,-1
"84513","PPAPDC1B",NA,NA,-1,-1
"84532","ACSS1","High","Enhanced",2,2
"84569","LYZL1",NA,NA,-1,-1
"8459","TPST2","Low","Approved",-1,0
"8460","TPST1","Low","Approved",-1,0
"84618","NT5C1A","High","Supported",2,2
"84620","ST6GAL2",NA,NA,-1,-1
"84647","PLA2G12B","Not detected","Approved",-1,-1
"84649","DGAT2",NA,NA,-1,-1
"84679","SLC9A7","Low","Approved",-1,0
"84693","MCEE",NA,NA,-1,-1
"847","CAT","Not detected","Enhanced",-1,-1
"84701","COX4I2",NA,NA,-1,-1
"84706","GPT2","Medium","Approved",1,1
"84720","PIGO",NA,NA,-1,-1
"84735","CNDP1","Not detected","Enhanced",-1,-1
"84779","NAA11","Not detected","Approved",-1,-1
"84803","AGPAT9",NA,NA,-1,-1
"84812","PLCD4","Not detected","Enhanced",-1,-1
"84814","PPAPDC3",NA,NA,-1,-1
"84875","PARP10","Low","Approved",-1,0
"84881","RPUSD4","Medium","Approved",1,1
"84889","SLC7A3","Not detected","Approved",-1,-1
"84890","ADO","Medium","Approved",1,1
"84912","SLC35B4","Medium","Approved",1,1
"84920","ALG10","Medium","Approved",1,1
"84992","PIGY",NA,NA,-1,-1
"85007","PHYKPL","Medium","Approved",1,1
"8501","SLC43A1","Medium","Enhanced",1,1
"8509","NDST2","Low","Approved",-1,0
"8513","LIPF","Not detected","Enhanced",-1,-1
"8525","DGKZ","Low","Supported",-1,0
"8526","DGKE","Medium","Approved",1,1
"8527","DGKD","Low","Approved",-1,0
"8528","DDO","Medium","Enhanced",1,1
"8529","CYP4F2","Not detected","Supported",-1,-1
"85320","ABCC11","Medium","Uncertain",1,1
"8534","CHST1",NA,NA,-1,-1
"85365","ALG2","Low","Approved",-1,0
"85366","MYLK2","Not detected","Enhanced",-1,-1
"8540","AGPS","Not detected","Supported",-1,-1
"85413","SLC22A16","Medium","Uncertain",1,1
"85465","EPT1",NA,NA,-1,-1
"8560","DEGS1",NA,NA,-1,-1
"8564","KMO","Not detected","Enhanced",-1,-1
"8565","YARS","Low","Enhanced",-1,0
"8566","PDXK","Not detected","Approved",-1,-1
"8574","AKR7A2","Low","Enhanced",-1,0
"8604","SLC25A12","High","Enhanced",2,2
"8605","PLA2G4C","Medium","Approved",1,1
"8608","RDH16","Not detected","Enhanced",-1,-1
"8611","PPAP2A",NA,NA,-1,-1
"8612","PPAP2C",NA,NA,-1,-1
"8613","PPAP2B",NA,NA,-1,-1
"8630","HSD17B6","Not detected","Enhanced",-1,-1
"8634","RTCA","Not detected","Uncertain",-1,-1
"8637","EIF4EBP3","Medium","Uncertain",1,1
"8639","AOC3","Not detected","Enhanced",-1,-1
"8644","AKR1C3","Not detected","Enhanced",-1,-1
"8647","ABCB11","Not detected","Enhanced",-1,-1
"8654","PDE5A","Medium","Approved",1,1
"8658","TNKS","Medium","Approved",1,1
"8659","ALDH4A1","Medium","Enhanced",1,1
"8671","SLC4A4","Not detected","Enhanced",-1,-1
"8681","JMJD7-PLA2G4B","Low","Uncertain",-1,0
"8692","HYAL2","Not detected","Uncertain",-1,-1
"8694","DGAT1","Low","Enhanced",-1,0
"8702","B4GALT4","Low","Approved",-1,0
"8703","B4GALT3","Not detected","Approved",-1,-1
"8704","B4GALT2","Not detected","Enhanced",-1,-1
"8705","B3GALT4","Low","Approved",-1,0
"8706","B3GALNT1",NA,NA,-1,-1
"8707","B3GALT2",NA,NA,-1,-1
"8708","B3GALT1",NA,NA,-1,-1
"8714","ABCC3","Low","Enhanced",-1,0
"87178","PNPT1","Medium","Supported",1,1
"873","CBR1","Not detected","Approved",-1,-1
"8731","RNMT","Medium","Approved",1,1
"8732","RNGTT","High","Approved",2,2
"8733","GPAA1",NA,NA,-1,-1
"874","CBR3","Medium","Uncertain",1,1
"875","CBS","Not detected","Supported",-1,-1
"8760","CDS2","Medium","Approved",1,1
"8776","MTMR1","Low","Approved",-1,0
"87769","GGACT","Not detected","Enhanced",-1,-1
"8789","FBP2","Medium","Uncertain",1,1
"8790","FPGT",NA,NA,-1,-1
"8800","PEX11A",NA,NA,-1,-1
"8801","SUCLG2","High","Enhanced",2,2
