"GENE.NAME","Ischemic","Ischemic_logFC","Idiopathic","Idiopathic_logFC"
"105376485",0,0,0,0
"105377774",0,0,0,0
"105378913",0,0,0,0
"105379807",0,0,0,0
"10538",-1,-0.146065394054339,-1,-0.204236846069225
"10544",-1,-0.183278579015255,-1,-0.16057068517199
"10553",-1,-0.326569663842661,-1,-0.370942466608506
"10555",0,0,0,0
"10559",1,0.11945503784906,1,0.0964698109106834
"1056",-1,-0.119121987196522,-1,-0.186750779544655
"10560",-1,-0.320268650690648,-1,-0.489671107314389
"10561",1,0.518114334875688,1,0.430971749129483
"10562",0,0,0,0
"10566",0,0,0,0
"10567",-1,-0.232207010279039,-1,-0.182156980780313
"1057",0,0,0,0
"10570",0,0,0,0
"10576",-1,-0.570869367403803,-1,-0.469767666771699
"10578",1,0.183605341012379,1,0.142637946520089
"10579",1,0.212418813611675,1,0.211769640277794
"1058",1,0.356984638843876,1,0.430548927617828
"10581",-1,-0.505669510445134,-1,-0.523849138236914
"10584",0,0,1,0.146488814859936
"10589",-1,-0.138164073612787,-1,-0.210956039116752
"10590",-1,-0.590719710746217,-1,-0.604917190697817
"10591",1,0.140286774246427,1,0.114707652977762
"10592",1,0.117040475819497,0,0
"10598",-1,-0.0741720651534932,0,0
"1060",1,0.281152106528474,1,0.242652992909608
"10602",0,0,1,0.0713213545261802
"10606",-1,-0.121366087748536,-1,-0.177174194960726
"10608",-1,-0.104554951108371,-1,-0.151333673919663
"10610",0,0,0,0
"10613",-1,-0.110727536672458,-1,-0.131618422112634
"10614",-1,-0.169729558680968,-1,-0.121093065629493
"10620",0,0,0,0
"10622",0,0,0,0
"10625",1,0.26709758421717,1,0.207129817606519
"10626",-1,-0.184153945288787,-1,-0.181933642245521
"10628",1,0.102981721464388,1,0.0863196707532179
"10629",-1,-0.198837952571134,-1,-0.249806123627869
"1063",0,0,0,0
"10630",-1,-0.221587975549076,-1,-0.265915744410689
"10631",1,0.838549375086136,1,0.800563051507717
"10634",-1,-0.225571080349391,-1,-0.257202140556312
"10637",0,0,0,0
"10644",-1,-0.343752778488634,-1,-0.336774768733685
"10647",-1,-0.0575940123367733,-1,-0.152960422853838
"106478910",0,0,1,0.123117796381633
"106479524",1,0.108075030538696,1,0.228083790605451
"106481123",-1,-0.0892751395808951,0,0
"10651",0,0,0,0
"10652",-1,-0.271778325986617,-1,-0.265187433640778
"10653",0,0,0,0
"10656",0,0,0,0
"1066",1,0.372524075961989,1,0.538025888514883
"10661",0,0,0,0
"106614088",1,0.0768916913736009,0,0
"10663",0,0,0,0
"10666",1,0.0976853206750707,1,0.130581999216282
"10668",-1,-0.0852814763725327,0,0
"10671",1,0.196414785406954,1,0.18504436272776
"10673",1,0.212181316724838,1,0.174601383259504
"10677",1,0.185963804608662,1,0.237113650284789
"10678",0,0,1,0.0831769608990314
"10682",-1,-0.238565203314486,-1,-0.204744693917688
"1069",1,0.248286973202227,1,0.234079075604546
"10691",-1,-0.182437680170207,-1,-0.203517967398314
"10693",1,0.118382864585131,1,0.0769820899368696
"10699",1,0.413485620567796,0,0
"107",0,0,0,0
"1070",1,0.3639604405695,1,0.296345771253587
"10712",-1,-0.298889721053259,-1,-0.328278267181492
"10717",1,0.146121751192939,1,0.164259364784606
"1072",-1,-0.295151809926093,-1,-0.326885532012744
"10723",1,0.102173785525142,1,0.155906671100247
"10724",1,0.270092447214148,1,0.255690678357421
"10726",0,0,0,0
"10728",0,0,-1,-0.0989476824705768
"1073",-1,-0.17698172128477,-1,-0.181844654596311
"10732",1,0.153583667477156,1,0.169294768113875
"10736",-1,-0.124223733511616,-1,-0.125063079204806
"10741",1,0.281370801983972,1,0.111852944171269
"10743",-1,-0.129436969767426,-1,-0.113894039538917
"10744",1,0.168250736398678,1,0.0997376779786627
"10745",-1,-0.121031722562932,0,0
"10748",1,0.180994640083973,1,0.139668720427366
"10749",-1,-0.187150468583845,-1,-0.101465312513099
"1075",-1,-0.759487249434454,-1,-0.791597946078733
"10750",0,0,0,0
"10752",-1,-0.564171823470597,-1,-0.734505203177903
"10758",-1,-0.186501326054956,-1,-0.199277651799498
"10762",0,0,-1,-0.103957362559722
"10763",1,0.192551501401928,1,0.237597342971125
"10766",-1,-0.218815410985933,-1,-0.282772344398497
"10769",1,0.19152858513474,1,0.224505890663375
"10775",-1,-0.0731526919753156,-1,-0.0731384974474532
"10778",0,0,0,0
"10780",1,0.144542921169179,1,0.100989907071373
"10781",0,0,0,0
"10783",1,0.111911667928008,0,0
"10785",-1,-0.232498799395207,-1,-0.245685439547707
"10788",0,0,0,0
"10791",-1,-0.132505582278038,-1,-0.157125328855817
"10797",-1,-0.49443003966,-1,-0.643165355568335
"107987020",0,0,-1,-0.146219336675939
"10799",-1,-0.184535244880273,-1,-0.234662770935977
"10800",1,0.431204855171202,1,0.278371607517934
"10807",-1,-0.291655926947604,-1,-0.304878911304337
"10808",0,0,0,0
"10809",-1,-0.348862278906127,-1,-0.315781210949254
"10815",0,0,-1,-0.0960732854487061
"10819",0,0,0,0
"10820",1,0.232941136341017,1,0.272886767782999
"10825",0,0,0,0
"10826",1,0.602549102305025,1,0.49001681336639
"10827",1,0.0759359781557185,1,0.0800030318830656
"10838",-1,-0.123860440312007,0,0
"10840",-1,-0.178982878663946,-1,-0.15037327232748
"10846",-1,-0.185904456620988,0,0
"10848",0,0,0,0
"10857",0,0,0,0
"10858",1,0.294341508347438,1,0.284231701951039
"10859",-1,-0.142712886794353,0,0
"10863",1,0.145137979268493,1,0.156178212975429
"10865",1,0.169726022454403,1,0.14255009602852
"10866",1,0.269657146250145,1,0.28784982167647
"10867",1,0.464930494759344,1,0.567436625277081
"10870",0,0,0,0
"10871",-1,-0.181581996759684,-1,-0.242942002178802
"10875",1,0.182180702080399,0,0
"10877",0,0,0,0
"10880",0,0,0,0
"10885",0,0,-1,-0.094260649269013
"10887",0,0,0,0
"10888",1,0.249524846871665,1,0.22489534276076
"10891",1,0.138647560955706,1,0.207476696639164
"10892",-1,-0.181546953295908,-1,-0.172762736765605
"10894",-1,-1.34578173451812,-1,-1.53778242749462
"10896",0,0,-1,-0.129728344035335
"10897",-1,-0.186121418140877,-1,-0.167602042490676
"10899",-1,-0.359779440900399,-1,-0.362180115230812
"109",-1,-0.480188342326636,-1,-0.493789649779773
"10900",0,0,1,0.0993543667166463
"10903",1,0.1252194955099,1,0.100869666294117
"10906",-1,-0.110758270003497,0,0
"10907",-1,-0.231059326632291,-1,-0.149315440388631
"10908",-1,-0.210815696572764,-1,-0.23456765619728
"10912",1,0.266767275329251,0,0
"10916",1,0.346779235156413,1,0.392519665113166
"10923",1,0.136660540786039,1,0.066524942873734
"10924",-1,-0.319161489314714,-1,-0.378960680234215
"10927",1,0.240506738136521,1,0.191235577586076
"10928",0,0,0,0
"10930",-1,-0.31902269786185,-1,-0.233394941320125
"10939",1,0.128816636084732,1,0.102130022315816
"10940",-1,-0.125133572775087,-1,-0.130019946923604
"10943",-1,-0.120324955549006,-1,-0.168495543288916
"10944",0,0,-1,-0.0899204255147037
"10947",1,0.491881696585053,1,0.509726682583392
"10950",-1,-0.0904621372889425,0,0
"10952",-1,-0.177741254012084,-1,-0.1879262737891
"10954",-1,-0.0971694016483848,-1,-0.151419895973284
"10961",1,0.0853168027603584,1,0.0825791206040147
"10962",0,0,1,0.23563894630793
"10963",-1,-0.204472613084222,-1,-0.151680071878053
"10964",1,1.1645065668828,1,1.06982334984469
"10965",1,0.162248771369878,0,0
"10966",1,0.0991660977600501,1,0.0935740614949756
"10969",-1,-0.186356677998774,-1,-0.240786157063853
"10970",0,0,0,0
"10973",0,0,0,0
"10981",-1,-0.170312602122456,-1,-0.131570821838239
"10982",1,0.103097336304234,1,0.110577850075501
"10987",-1,-0.0724496104458261,-1,-0.0753116787474877
"10990",-1,-0.123212633267498,-1,-0.177339445392396
"10991",1,0.381618401736449,1,0.309550165744801
"10994",0,0,0,0
"10999",-1,-0.392826929539174,-1,-0.422424914958038
"11005",1,0.142058775124141,0,0
"11006",-1,-0.240545667462079,-1,-0.206273630587875
"11007",0,0,0,0
"1101",0,0,0,0
"11010",-1,-0.284578701335309,-1,-0.332753562320661
"11014",-1,-0.130761212729736,-1,-0.162000896114062
"11015",1,0.241528895883195,1,0.226400220526719
"11019",1,0.321241640150068,1,0.209771965140058
"1102",1,0.261837634029708,1,0.223856132053083
"11020",1,0.196206993712611,1,0.230108140190278
"11022",1,0.163193874030335,1,0.169092888076039
"11024",-1,-0.147475882613555,0,0
"11026",0,0,0,0
"11027",-1,-0.114199566394277,-1,-0.123213486147418
"11031",0,0,0,0
"11033",0,0,0,0
"11041",0,0,0,0
"11043",0,0,-1,-0.106153770942437
"11044",-1,-0.0951784280223862,-1,-0.120132763509153
"1105",-1,-0.142272020711852,-1,-0.149486973533538
"11054",-1,-0.108188165010614,-1,-0.143994780231532
"11057",-1,-0.203387096301483,-1,-0.163748473899034
"11059",-1,-0.189978153261707,-1,-0.14481598543024
"11062",1,0.0744029198435703,0,0
"11067",1,0.158832704695736,0,0
"11069",1,0.153230829476073,0,0
"1107",0,0,0,0
"11072",0,0,0,0
"11076",0,0,0,0
"11080",0,0,0,0
"11092",1,0.217496338557573,1,0.18441517456169
"11096",-1,-0.354591702211385,-1,-0.545651565766315
"11097",0,0,0,0
"11098",0,0,0,0
"11099",1,0.277234101233812,1,0.319845487811868
"111",1,0.308574816239229,1,0.319946856165167
"11102",0,0,0,0
"11105",0,0,0,0
"11107",1,0.47216992649519,1,0.460853244608677
"1111",-1,-0.135461200470206,-1,-0.196130062532459
"11112",1,0.159143487570496,1,0.150375323568319
"11116",0,0,0,0
"11117",-1,-0.195956821532364,-1,-0.161888477766502
"11118",1,0.472868343003162,1,0.444682117529231
"11119",1,0.708902227454709,1,0.620039448739054
"11123",1,0.0746058849867532,0,0
"11127",1,0.30483985780231,1,0.296199703445837
"11130",-1,-0.0642326087112268,-1,-0.0682442753764381
"11133",0,0,-1,-0.0924188799117704
"11135",-1,-0.231273214707435,-1,-0.199620971909614
"11138",0,0,0,0
"1114",-1,-0.172534556599772,-1,-0.203778948878585
"11141",0,0,0,0
"11142",1,0.129643728311052,1,0.116765801620689
"11145",-1,-0.246431757749862,-1,-0.303764851372314
"11147",1,0.176868886662069,1,0.137406114087876
"11149",-1,-0.327364123314329,-1,-0.221928453344869
"11151",-1,-0.270431603446519,-1,-0.340768898819044
"11153",-1,-0.120455399347533,-1,-0.156319931206959
"11154",1,0.115975692398136,1,0.137595798626255
"11155",0,0,1,0.180361144399916
"11156",0,0,0,0
"11157",-1,-0.159487768469275,-1,-0.205936560644373
"1116",-1,-0.672634649755272,-1,-0.680112938628052
"11161",1,0.0841004934584202,0,0
"11162",1,0.324347889399752,1,0.245645795829802
"11164",-1,-0.307985127638631,-1,-0.315365753471484
"11168",1,0.258026864883119,1,0.246556890661043
"1117",0,0,0,0
"11170",-1,-0.307614332140957,-1,-0.429063708941719
"11173",0,0,-1,-0.0773526782483831
"11174",1,0.107271822188617,0,0
"11177",-1,-0.366054055655123,-1,-0.390896514604023
"11178",-1,-0.194737174890641,-1,-0.223596005875359
"11179",1,0.165761351257959,1,0.147467158377857
"11182",-1,-0.169056594195673,-1,-0.163335439619803
"11183",0,0,0,0
"11186",0,0,0,0
"1119",1,0.106365914270338,0,0
"11193",0,0,0,0
"112",0,0,1,0.242758915232598
"11213",-1,-0.236906777758214,-1,-0.346899230109043
"11214",1,0.235438057697889,1,0.270479663541423
"11215",1,0.24329401423009,1,0.255488161698524
"11219",0,0,-1,-0.112218297502692
"11221",0,0,1,0.169896895101147
"11224",-1,-0.157156477626565,-1,-0.0755219523043476
"1123",1,0.242795602974525,1,0.255369199571196
"11230",-1,-0.266949576777719,-1,-0.317947948356528
"11235",-1,-0.101430820357594,-1,-0.0813759419763311
"11237",-1,-0.215022583121836,-1,-0.185693140107963
"11238",1,0.343251642366172,1,0.268697324895444
"112399",0,0,0,0
"1124",-1,-0.202756333968205,-1,-0.242258312927373
"11245",0,0,0,0
"112464",0,0,0,0
"11247",0,0,1,0.0747329152001406
"112476",1,0.366533087124914,1,0.367076328125177
"112479",1,0.4406095898044,1,0.366558677453187
"11248",1,0.0733015778965855,0,0
"112487",-1,-0.0743268621578279,-1,-0.170965862792866
"112495",-1,-0.129943433200241,-1,-0.152556824353125
"11251",1,0.0814891198321872,1,0.115828961193682
"112574",-1,-0.0622151509518609,0,0
"11258",0,0,0,0
"11259",1,0.320935237000682,1,0.321719383315455
"11260",-1,-0.189588436560383,-1,-0.231397147128411
"112609",0,0,1,0.0789934360215154
"112611",1,0.0990704692535456,0,0
"112616",-1,-0.218314552532513,-1,-0.239805893680774
"11264",1,0.330929032515003,1,0.31179703966033
"11270",-1,-0.327763623858444,-1,-0.308183186718258
"112714",-1,-0.804444943753644,-1,-0.91984089381474
"112724",1,0.126123734783199,1,0.146318421538916
"11274",1,0.152326824063075,0,0
"11275",-1,-0.31552103907106,-1,-0.353372047981708
"112752",1,0.301875302374057,1,0.303260776218612
"112770",0,0,-1,-0.10370019428623
"11278",1,0.21308428027723,1,0.21235419250394
"11279",1,0.190916998646896,1,0.155025795476681
"1128",0,0,0,0
"11281",1,0.176767026282033,1,0.23216471762697
"112817",-1,-0.416915955884063,-1,-0.386139145671093
"112840",0,0,0,0
"112849",-1,-0.0979037009725365,-1,-0.089786815600255
"1129",0,0,0,0
"112939",-1,-0.396376955949857,-1,-0.412605281494256
"1130",1,0.178572736704866,1,0.126694227330167
"113000",-1,-0.164488451451323,-1,-0.194610274198172
"113026",-1,-0.279911669627563,-1,-0.362320650448354
"11309",-1,-0.156589658566181,-1,-0.172466044249104
"113091",-1,-0.126156952443358,0,0
"11311",1,0.270173034921653,1,0.254708615754661
"113146",0,0,-1,-0.296642487655313
"113179",-1,-0.0810198365466759,-1,-0.152133187879666
"11318",0,0,-1,-0.0647801531463417
"1132",0,0,0,0
"11320",0,0,0,0
"113201",1,0.235440970035591,1,0.175156616673597
"11322",0,0,0,0
"113235",0,0,0,0
"113246",1,0.134193544047278,1,0.164093965048954
"11326",-1,-1.30621094938731,-1,-1.29104517444405
"113263",1,0.169206368359747,1,0.187337567203015
"113277",-1,-0.146790707363244,-1,-0.165713420536408
"113278",-1,-0.360955147697996,-1,-0.364339921236371
"11329",0,0,0,0
"1134",-1,-0.104228234779728,-1,-0.0762357663030881
"11340",0,0,-1,-0.0849250078000408
"11341",1,0.226052565664157,1,0.129742355607422
"11343",0,0,1,0.107123117556852
"11344",0,0,0,0
"113444",-1,-0.24942206413709,-1,-0.220639038267758
"113451",1,0.37023323278598,1,0.469025996983674
"113452",1,0.0864266105768445,1,0.122735686663377
"113612",1,0.160113026347515,1,0.23412264637769
"113622",1,0.347538054328394,1,0.439105707043938
"113655",0,0,0,0
"113675",1,0.679856542010363,1,0.769127374414984
"113791",1,0.613688342159671,1,0.601364789569045
"1138",-1,-0.190256048031279,0,0
"113829",-1,-0.0803672309036489,-1,-0.106222125991566
"113835",1,0.17205574244109,1,0.133383167099892
"113878",0,0,-1,-0.106336728466826
"1139",-1,-0.129555838381815,-1,-0.155352745139703
"114034",0,0,0,0
"114036",1,0.250272619944114,1,0.263322709885577
"114038",0,0,0,0
"114049",-1,-0.073871674041186,0,0
"114134",-1,-0.131014131019748,-1,-0.170843970820123
